,text,label
7833,"Thiamine Mononitrate (Vitami B1) + Pyridoxine Hydrochloride (Vitamin B6) + Cyanocobalamin (Vitamin B12), Capsule, -",Prescription Drug (RX)
7834,"Thiamine Mononitrate (Vitami B1) + Pyridoxine Hydrochloride (Vitamin B6) + Cyanocobalamin (Vitamin B12), Capsule, -",Prescription Drug (RX)
7835,"Multivitamins / Minerals / Lysine / Inositol (See reverse), Syrup, -",Over-the-Counter (OTC)
7836,"Multivitamins + Minerals + Lysine + Inositol, Syrup, -",Over-the-Counter (OTC)
7837,"Multivitamins + Minerals + Lysine + Inositol, Syrup, -",Over-the-Counter (OTC)
7838,"Ciprofloxacin (As Hydrochloride), Film-Coated Tablet, -",Prescription Drug (RX)
7839,"Ciprofloxacin (As Hydrochloride), Tablet, -",Prescription Drug (RX)
7840,"Salbutamol (As Sulfate), Tablet, -",Prescription Drug (RX)
7841,"Levocetirizine, Film-Coated Tablet, Antihistamine",Prescription Drug (Rx)
7842,"Levocetirizine Dihydrochloride, Film-Coated Tablet, Antihistamine",Prescription Drug (Rx)
7843,"Levocetirizine, Film-Coated Tablet, Antihistamine",Prescription Drug (RX)
7844,"Levocetirizine, Film-Coated Tablet, Antihistamine",Prescription Drug (RX)
7845,"Levocetirizine, Film-Coated Tablet, Antihistamine",Prescription Drug (RX)
7846,"Thiamine Mononitrate + Pyridoxine Hydrochloride + Cyanocobalamin, Capsule, Vitamin",Prescription Drug (RX)
7847,"Vitamin B Complex, Capsule, Vitamins",Over-the-Counter (OTC) Drug
7848,"Pyrazinamide + Ethambutol hydrochloride + Rifampicin + Isoniazid, Tablet, Antituberculosis",Prescription Drug (Rx)
7849,"Cloxacillin (As Sodium), Powder For Oral Solution, Antibacterial (Penicillin)",Prescription Drug (RX)
7850,"Cloxacillin (As Sodium), Powder For Oral Solution, Antibacterial (Penicillin)",Prescription Drug (RX)
7851,"Ceftriaxone (as sodium), Powder For Injection (Im/Iv), Antibacterial",Prescription Drug (RX)
7852,"Ceftriaxone sodium, Powder For Injection (IV/IM), Antibacterial",Prescription Drug (RX)
7853,"Ceftriaxone (as sodium), Powder for Injection (IM/IV), Antibacterial",Prescription Drug (RX)
7854,"Fexofenadine hydrochloride, Film-Coated Tablet, Antihistamine",Prescription Drug (RX)
7855,"Ketoconazole, Cream, Antifungals",Prescription Drug (RX)
7856,"Ketoconazole, Topical cream, Antifungals",Prescription Drug (RX)
7857,"Ketoconazole, Cream, Antifungal",Prescription Drug (RX)
7858,"Spironolactone, Tablet, Diuretics (Aldosterone antagonists)",Prescription Drug (RX)
7859,"Spironolactone, Tablet, Diuretics (Aldosterone antagonists)",Prescription Drug (RX)
7860,"Cefepime (As Hydrochloride), Powder for Injection (IM/IV), Antibacterial (Cephalosporin)",Prescription Drug (RX)
7861,"Cefixime (As Trihydrate), Powder for Suspension, Antibacterial (Cephalosporin)",Prescription Drug (RX)
7862,"Cefepime (As Hydrochloride), Powder For Injection, Antibacterial (Cephalosporins)",Prescription Drug (RX)
7863,"Verapamil Hydrochloride, Sustained Release Tablet, Calcium Channel Blocker",Prescription Drug (RX)
7864,"Rabeprazole (As Sodium), Enteric-Coated Tablet, -",Prescription Drug (RX)
7865,"Loratadine, Tablet, Antihistamine",Over-The-Counter (OTC)
7866,"Loratadine, Tablet, Antihistamine",Over-The-Counter (OTC)
7867,"Hyoscine-N-Butylbromide, Solution for Injection, Antispasmodic",Prescription Drug (RX)
7868,"Hyoscine-N-Butylbromide, Solution for Injection, Antispasmodics",Prescription Drug (RX)
7869,"Hyoscine-N-Butylbromide, Solution for Injection, Antispasmodics",Prescription Drug (RX)
7870,"Hyoscine-N-Butylbromide, Solution for Injection (I.M. / I.V. /S.C.), Antispasmodics",Prescription Drug (Rx)
7871,"Hyoscine-N-Butylbromide, Solution For Injection (IM/IV/SC), Antispasmodic",Prescription Drug (RX)
7872,"Hyoscine-N-Butylbromide, Solution For Injection, Antispasmodic",Prescription Drug (Rx)
7873,"Hyoscine-N-Butylbromide, Solution for Injection (I.M./I.V./S.C.), Antispasmodics",Prescription Drug (RX)
7874,"Betahistine Hydrochloride, Film-Coated Tablet, -",Prescription Drug (RX)
7875,"Betahistine Hydrochloride, Film-Coated Tablet, -",Prescription Drug (RX)
7876,"Betahistine Hydrochloride, Film-Coated Tablet, -",Prescription Drug (RX)
7877,"Betahistine Hydrochloride, Film-Coated Tablet, -",Prescription Drug (RX)
7878,"Clopidogrel (As Bisulfate), Film-Coated Tablet, ANTITHROMBOTIC",Prescription Drug (RX)
7879,"Irbesartan, Tablet, -",Prescription Drug (RX)
7880,"Irbesartan, Tablet, -",Prescription Drug (RX)
7881,"Mupirocin, Ointment, Antibacterial",Prescription Drug (RX)
7882,"Mupirocin, Ointment, Antibacterial",Prescription Drug (RX)
7883,"Mupirocin, Ointment, Antibacterial",Prescription Drug (Rx)
7884,"Mupirocin, Ointment, Antibacterial",Prescription Drug (RX)
7885,"Mupirocin, Ointment, Antibacterial",Prescription Drug (Rx)
7886,"MULTIVITAMINS + MINERALS, Film-Coated Tablet, Vitamins &amp; Minerals",Prescription Drug (Rx)
7887,"MULTIVITAMINS + MINERALS, Film-Coated Tablet, Vitamins /Minerals",Prescription Drug (Rx)
7888,"Multivitamins + Minerals, Film-Coated Tablet, Vitamins/Minerals",Prescription Drug (RX)
7889,"Co-Amoxiclav, Powder For Suspension, Antibacterial",Prescription Drug (RX)
7890,"Co-Amoxiclav, Powder For Suspension, Antibacterial",Prescription Drug (RX)
7891,"Multivitamins + Amino Acids, Forte Capsule, Vitamins",Prescription Drug (Rx)
7892,"Multivitamins + Amino Acids, Capsule, Vitamins",Prescription Drug (RX)
7893,"Cetirizine dihydrochloride, Tablet, Antihistamine",Over-The-Counter (OTC)
7894,"Cetirizine dihydrochloride, Tablet, Antihistamine",Over-The-Counter (OTC)
7895,"Exemestane, Film-Coated Tablet, Antineoplastic",Prescription Drug (Rx)
7896,"Celecoxib, Capsule, Selective COX-2 Inhibitor",Prescription Drug (Rx)
7897,"Celecoxib, Capsule, Selective COX-2 Inhibitor",Prescription Drug (Rx)
7898,"Celecoxib, Capsule, Selective COX-2 Inhibitor",Prescription Drug (RX)
7899,"Celecoxib, Capsule, Selective COX-2 Inhibitor",Prescription Drug (RX)
7900,"Amlodipine (As Besilate), Tablet, -",Prescription Drug (RX)
7901,"Cefixime (As Trihydrate), Film-Coated Tablet, Antibacterial (Cephalosporin)",Prescription Drug (RX)
7902,"Cefixime (as Trihydrate), Film-Coated Tablet, Antibacterial (Cephalosporin)",Prescription Drug (RX)
7903,"Amino Acids, Solution For Injection, Parenteral Nutrition",Prescription Drug (RX)
7904,"Amino Acids, Solution For Injection, Parenteral Nutrition",Prescription Drug (Rx)
7905,"Amino Acids, Solution For Injection, Parenteral Nutrition",Prescription Drug (Rx)
7906,"Amino Acids, Solution For Injection, Parenteral Nutrition",Prescription Drug (RX)
7907,"Amino acids, Solution for Injection, -",Prescription Drug (RX)
7908,"Iron + Multivitamins, Capsule, Vitamins/Minerals",Prescription Drug (RX)
7909,"Iron + Multivitamins, Capsule, Vitamins/Minerals",Prescription Drug (RX)
7910,"Iron + Multivitamins, Capsule, Vitamins/Minerals",Prescription Drug (RX)
7911,"Irbesartan, Tablet, -",Prescription Drug (RX)
7912,"Irbesartan, Tablet, -",Prescription Drug (RX)
7913,"Irbesartan, Tablet, -",Prescription Drug (RX)
7914,"Irbesartan, Tablet, -",Prescription Drug (RX)
7915,"Cefaclor (as Monohydrate), Powder for Suspension, Antibacterials (Cephalosporins",Prescription Drug (Rx)
7916,"Risperidone, Tablet, -",Prescription Drug (RX)
7917,"Amino Acids, Solution For Injection, Nutritional Supplement",Prescription Drug (RX)
7918,"AMINO ACIDS, Solution For Injection (Iv), NUTRITIONAL SUPPLEMENT",Prescription Drug (RX)
7919,"Multivitamins + Minerals, Capsule, Prenatal Multivitamins and Minerals",Over-The-Counter (OTC)
7920,"Multivitamins + Minerals, Capsule, Prenatal Multivitamins and Minerals",Over-The-Counter (OTC)
7921,"Hyoscine-N-Butylbromide, Syrup, Anticholinergic",Prescription Drug (RX)
7922,"Hyoscine-N-Butylbromide, Syrup, Anticholinergic",Prescription Drug (RX)
7923,"Diclofenac Sodium, Enteric-Coated Tablet, Non-steroidal Anti-inflammatory and Antirheumatic Drug (Acetic Acid Derivative)",Prescription Drug (RX)
7924,"Ursodeoxycholic Acid + Thiamine Mononitrate + Riboflavin, Softgel Capsule, -",Prescription Drug (RX)
7925,"Hydrocortisone (As Acetate) + Miconazole (As Nitrate), Topical Cream, Corticosteroid/Antifungal",Prescription Drug (RX)
7926,"Hydrocortisone (As Acetate) + Miconazole (As Nitrate), Topical Cream, CORTICOSTEROIDS/ANTIFUNGAL",Prescription Drug (RX)
7927,"Co-Amoxiclav, Sterile Powder for Injection (IV), -",Prescription Drug (RX)
7928,"Tramadol (As Hydrochloride), Solution For Injection, Opioid Analgesic",Prescription Drug (RX)
7929,"Tramadol (As Hydrochloride), Solution For Injection, Opioid Analgesic",Prescription Drug (RX)
7930,"Ursodeoxycholic Acid, Tablet, Bile Salt",Prescription Drug (RX)
7931,"Tamsulosin Hydrochloride, Extended Release Tablet, Alpha-Adrenoceptor Antagonist",Prescription Drug (RX)
7932,"Hyperstop, Tablet, Angiotensin-Converting Enzyme (ACE) Inhibitor",Prescription Drug (RX)
7933,"Captopril, Tablet, Angiotensin-Converting Enzyme (ACE) Inhibitor",Prescription Drug (RX)
7934,"Co-Amoxiclav, Sterile Powder for Injection I.V., -",Prescription Drug (RX)
7935,"Isoniazid + Pyridoxine Hydrochloride, Syrup, -",Prescription Drug (RX)
7936,"Isoniazid + Pyridoxine Hydrochloride, Syrup, -",Prescription Drug (RX)
7937,"Losartan Potassium, Film-Coated Tablet, -",Prescription Drug (RX)
7938,"Losartan Potassium, Film-Coated Tablet, -",Prescription Drug (RX)
7939,"Losartan Potassium, Film-Coated Tablet, -",Prescription Drug (RX)
7940,"Candesartan Cilexetil, Tablet, Angiotensin II Antagonists",Prescription Drug (RX)
7941,"Candesartan Cilexetil, Tablet, Angiotensin II Antagonists",Prescription Drug (RX)
7942,"Cefuroxime (As Sodium), Powder For Injection (Im/Iv), Antibacterial (Cephalosporin)",Prescription Drug (RX)
7943,"Levofloxacin (As Hemihydrate), Film-Coated Tablet, Fluoroquinolone",Prescription Drug (RX)
7944,"Paracetamol, Solution For Intravenous Infusion, Analgesic/Antipyretic",Prescription Drug (RX)
7945,"Paracetamol, Solution For Intravenous Infusion, Analgesic/Antipyretic",Prescription Drug (RX)
7946,"Cefixime (As Trihydrate), Tablet, Antibacterial (Cephalosporin)",Prescription Drug (RX)
7947,"Cefixime (as Trihydrate), Film-Coated Tablet, Antibacterial (Cephalosporin)",Prescription Drug (RX)
7948,"Cefixime (as Trihydrate), Film-Coated Tablet, Antibacterial (Cephalosporin)",Prescription Drug (RX)
7949,"Oxacillin (as sodium), Powder for Injection ( IM / IV, Antibacterials (Penicillins)",Prescription Drug (RX)
7950,"Hyoscine N-Butylbromide, Syrup, -",Prescription Drug (RX)
7951,"Levocetirizine Hydrochloride, Film - Coated Tablet, Antihistamine (Piperazine Derivative)",Prescription Drug (RX)
7952,"Levofloxacin (As Hemihydrate), Solution For Intravenous Infusion, Antibacterial (Quinolone)",Prescription Drug (RX)
7953,"Levofloxacin (As Hemihydrate), Solution For Iv Infusion, Antibacterial (Quinolone)",Prescription Drug (RX)
7954,"Levofloxacin (As Hemihydrate), Solution For Intravenous Infusion, Antibacterial (Quinolone)",Prescription Drug (RX)
7955,"Ofloxacin, Solution for IV Infusion, Antibacterial",Prescription Drug (RX)
7956,"Tamsulosin Hydrochloride, Prolonged-Release Capsule, Alpha-adrenoreceptor Antagonist",Prescription Drug (RX)
7957,"Metronidazole, Tablet, Antibacterial/Antiprotozoal (Nitroimidazole)",Prescription Drug (Rx)
7958,"Tramadol Hydrochloride, Capsule, Opioid Analgesic",Prescription Drug (Rx)
7959,"Tramadol Hydrochloride, Capsule, Opioid Analgesic",Prescription Drug (RX)
7960,"Omeprazole (as sodium), Lyophilized Powder For Iv Injection, Proton Pump Inhibitor",Prescription Drug (RX)
7961,"Omeprazole (as sodium), Lyophilized Powder For I.V. Injection, Proton Pump Inhibitor",Prescription Drug (Rx)
7962,"Ampicillin (As Sodium) + Sulbactam (As Sodium), Powder For Injection (IM/IV), -",Prescription Drug (RX)
7963,"Ampicillin (As Sodium) + Sulbactam (As Sodium), Powder For Injection (IM/IV), -",Prescription Drug (RX)
7964,"Ampicillin (As Sodium) + Sulbactam (As Sodium), Powder for Injection (I.M./I.V.), -",Prescription Drug (RX)
7965,"Clotrimazole, Vaginal Tablet, Antifungal",Prescription Drug (Rx)
7966,"Clotrimazole, Vaginal Tablet, Antifungal",Prescription Drug (Rx)
7967,"Cefuroxime (as axetil), Granules For Suspension, Antibacterial (Cephalosporin)",Prescription Drug (RX)
7968,"Cefuroxime (as axetil), Granules For Suspension, Antibacterial (Cephalosporin)",Prescription Drug (RX)
7969,"Paracetamol + Phenylephrine Hydrochloride + Dextromethorphan Hydrobromide, Capsule, -",Prescription Drug (RX)
7970,"Paracetamol + Phenylephrine Hydrochloride + Dextromethorphan Hydrobromide, Capsule, -",Prescription Drug (RX)
7971,"Rifampicin, Capsule, -",Prescription Drug (RX)
7972,"Valsartan + Hydrochlorothiazide, Film-Coated Tablet, ANGIOTENSIN II RECEPTOR BLOCKER / DIURETIC",Prescription Drug (RX)
7973,"Cefuroxime (As Axetil), Granules For Suspension, Antibacterial (Cephalosporin)",Prescription Drug (RX)
7974,"Cefuroxime (As Axetil), Granules For Suspension, Antibacterial (Cephalosporin)",Prescription Drug (RX)
7975,"Paracetamol + Phenylephrine Hydrochloride, Tablet, -",Over-the-Counter (OTC)
7976,"Aciclovir, Tablet, -",Prescription Drug (RX)
7977,"Chlorpromazine ( as hydrochloride), Tablet, Antipsychotic",Prescription Drug (RX)
7978,"Chlorpromazine ( as hydrochloride ), Tablet, Antipsychotic",Prescription Drug (RX)
7979,"Sildenafil (as Citrate), Tablet, Urologicals",Prescription Drug (RX)
7980,"Sildenafil (as citrate), Tablet, Urologicals",Prescription Drug (RX)
7981,"Fenofibrate, Capsule, -",Prescription Drug (RX)
7982,"Fenofibrate, Capsule, Lipid Modifying Agent (Fibrate)",Prescription Drug (RX)
7983,"Cinnarizine, Tablet, Anti-Vertigo",Prescription Drug (RX)
7984,"Celecoxib, Capsule, Selective COX-2 Inhibitor",Prescription Drug (RX)
7985,"Propranolol Hydrochloride, Tablet, Beta Blocking Agents, Non-Selective",Prescription Drug (RX)
7986,"Propranolol Hydrochloride, Tablet, Beta Blocking Agents, Non-Selective",Prescription Drug (RX)
7987,"Losartan Potassium, Film-Coated Tablet, Angiotensin II Receptor Antagonist",Prescription Drug (RX)
7988,"Losartan Potassium, Film-Coated Tablet, Angiotensin II Receptor Antagonist",Prescription Drug (RX)
7989,"Paracetamol, Tablet, Analgesic/ Antipyretic",Over-The-Counter (OTC)
7990,"Ketotifen Fumarate, Syrup, Antihistamine",Prescription Drug (RX)
7991,"Tramadol Hydrochloride, Solution For Injection (IM/IV), Opioid Analgesic",Prescription Drug (RX)
7992,"Tramadol hydrochloride, Solution for Injection (IM/IV), -",Prescription Drug (Rx)
7993,"Povidone-Iodine, Ointment, Antiseptic",Household Remedy (HR)
7994,"Cefuroxime (As Sodium), Powder for Injection (IM/IV), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (RX)
7995,"Cefuroxime (As Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (Rx)
7996,"Cefuroxime (As Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (Rx)
7997,"Cefuroxime (As Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (Rx)
7998,"Cefuroxime (As Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (Rx)
7999,"Cefuroxime (As Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (Rx)
8000,"Cefuroxime (As Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (Rx)
8001,"Cefuroxime (As Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (Rx)
8002,"Cefuroxime (As Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (Rx)
8003,"Cefuroxime (As Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (Rx)
8004,"Cefuroxime (as sodium), Powder for Injection (I.M./I.V.), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (RX)
8005,"Cefuroxime (As Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (Rx)
8006,"Cefuroxime (As Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (Rx)
8007,"Cefuroxime (as sodium), Powder For Injection (IM/IV), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (RX)
8008,"Cefuroxime (as Sodium), Fowder fo injection (IM/IV), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (RX)
8009,"Cefuroxime (as Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (RX)
8010,"Cefuroxime (as Sodium), Powder For Injection (I.M./I.V.), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (RX)
8011,"Cefuroxime (as Sodium), Powder for Injection (IM/IV), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (RX)
8012,"Cefuroxime (as Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (RX)
8013,"Cefuroxime (as Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (RX)
8014,"Cefuroxime (As Sodium), Powder For Injection (IM/IV), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (RX)
8015,"Cefuroxime (as Sodium), Powder For Injection (Im/Iv), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (RX)
8016,"Cefuroxime (as Sodium), Powder for Injection (IM/IV), ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (RX)
8017,"Carbamazepine, Tablet, Antiepileptic",Prescription Drug (RX)
8018,"Trimetazidine Dihydrochloride, Tablet, Anti-Angina",Prescription Drug (Rx)
8019,"Trimetazidine Dihydrochloride, Tablet, Anti-Angina",Prescription Drug (Rx)
8020,"Trimetazidine Dihydrochloride, Tablet, Anti-Angina",Prescription Drug (Rx)
8021,"Isoniazid / Pyridoxine Hydrochloride, Syrup, Anti-tuberculosis (Hydrazide)",Prescription Drug (RX)
8022,"Verapamil Hydrochloride, Film-Coated Tablet, Selective Calcium Channel Blocker with Direct Cardiac Effects (Phenylalkylamine Derivative)",Prescription Drug (RX)
8023,"Sitagliptin (as Monohydrate Phosphate) + Metformin Hydrochloride, Film-Coated Tablet, Antidiabetic",Prescription Drug (RX)
8024,"Sitagliptin (as Monohydrate Phosphate) + Metformin Hydrochloride, Film-Coated Tablet, Antidiabetic",Prescription Drug (RX)
8025,"Sitagliptin (as Monohydrate Phosphate) + Metformin Hydrochloride, Film-Coated Tablet, Antidiabetic",Prescription Drug (RX)
8026,"Sitagliptin (as Monohydrate Phosphate) + Metformin Hydrochloride, Film-Coated Tablet, Antidiabetic",Prescription Drug (RX)
8027,"Sitagliptin (as Monohydrate Phosphate) + Metformin Hydrochloride, Film-Coated Tablet, Antidiabetic",Prescription Drug (RX)
8028,"Carbamazepine, Tablet, Antiepileptic",Prescription Drug (RX)
8029,"Carbamazepine, Tablet, Antiepileptic",Prescription Drug (RX)
8030,"Carbamazepine, Tablet, Antiepileptic",Prescription Drug (RX)
8031,"Carbamazepine, Tablet, Antiepileptic",Prescription Drug (RX)
8032,"Carbamazepine, Tablet, Antiepileptic",Prescription Drug (RX)
8033,"Esomeprazole (As Sodium), Powder For Injection (I.V.), Proton Pump Inhibitor",Prescription Drug (RX)
8034,"Esomeprazole (As Sodium), Powder For Injection (I.V.), Proton Pump Inhibitor",Prescription Drug (RX)
8035,"Esomeprazole (As Sodium), Powder For Injection (I.V.), Proton Pump Inhibitor",Prescription Drug (RX)
8036,"Esomeprazole (As Sodium), Powder For Injection (I.V.), Proton Pump Inhibitor",Prescription Drug (RX)
8037,"Esomeprazole (As Sodium), Powder For Injection (I.V.), Proton Pump Inhibitor",Prescription Drug (RX)
8038,"Diclofenac Potassium, Sugar-Coated Tablet, -",Over-the-Counter (OTC) Drug
8039,"Famotidine, Lyophilized Powder For Injection (Iv), Hista-bloc",Prescription Drug (RX)
8040,"Tobramycin + Dexamethasone, Ophthalmic Solution (Eye Drops), Antibacterial/Corticosteroid",Prescription Drug (Rx)
8041,"Tropicamide + Phenylephrine Hydrochloride, Ophthalmic Solution, Anticholinergic/ Adrenergic Agonist",Prescription Drug (RX)
8042,"Carvedilol, Tablet, ALPHA AND BETA ADRENOCEPTOR BLOCKER",Prescription Drug (Rx)
8043,"Pantoprazole (as Sodium), Lyophilized Powder for Injection (IV), Proton Pump Inhibitor",Prescription Drug (Rx)
8044,"Pantoprazole (as Sodium), Lyophilized Powder for Injection (IV), Proton Pump Inhibitor",Prescription Drug (Rx)
8045,"Clopidogrel (As Bisulfate), Film-Coated Tablet, -",Prescription Drug (RX)
8046,"Clopidogrel (As Bisulfate), Film-Coated Tablet, -",Prescription Drug (RX)
8047,"Clopidogrel (as bisulfate ), Film-Coated Tablet, -",Prescription Drug (RX)
8048,"Clopidogrel (As Bisulfate), Film-Coated Tablet, -",Prescription Drug (RX)
8049,"Clopidogrel (As Bisulfate), Film-Coated Tablet, -",Prescription Drug (RX)
8050,"Clopidogrel (As Bisulfate), Film-Coated Tablet, -",Prescription Drug (RX)
8051,"Cefixime (as Trihydrate), Granules for Suspension, Antibacterial (Cephalosporin)",Prescription Drug (Rx)
8052,"Ampicillin (As Sodium), Sterile Powder For Injection (I.M/I.V.), Antibacterial (Penicillin)",Prescription Drug (RX)
8053,"Metronidazole, Tablet, Antiprotozoal",Prescription Drug (Rx)
8054,"Metronidazole, Tablet, Antiprotozoal",Prescription Drug (RX)
8055,"Metronidazole, Tablet, Antiprotozoal",Prescription Drug (Rx)
8056,"Levofloxacin (as Hemihydrate), Film-Coated Tablet, ANTIBACTERIAL (QUINOLONE)",Prescription Drug (Rx)
8057,"Levofloxacin (as Hemihydrate), Film-Coated Tablet, ANTIBACTERIAL (QUINOLONE)",Prescription Drug (Rx)
8058,"Oxacillin (As Sodium), Sterile Powder For Injection (Im/ Iv), Antibacterials (Penicillins)",Prescription Drug (RX)
8059,"Salmeterol (As Xinafoate) + Fluticasone Propionate, Metered Dose Inhaler, Beta-2-adrenoceptor agonist/Corticosteroid",Prescription Drug (RX)
8060,"Salmeterol (As Xinafoate) + Fluticasone Propionate, Metered Dose Inhaler, Beta 2 adrenoreceptor Agonist -Corticosteroid",Prescription Drug (RX)
8061,"Salmeterol (As Xinafoate) + Fluticasone Propionate, Metered Dose Inhaler, Beta-2-adrenoreceptor agonist/ Corticosteroid",Prescription Drug (RX)
8062,"Salmeterol (As Xinafoate) + Fluticasone Propionate, Metered Dose Inhaler, Beta-2-adrenoreceptor Agonist-Corticosteroid Combination",Prescription Drug (RX)
8063,"Salmeterol (As Xinafoate) + Fluticasone Propionate, Metered Dose Inhaler, Beat-2-adrenoceptor agonist/Corticosteroid",Prescription Drug (RX)
8064,"Budesonide, Metered Dose Inhaler, Corticosteroid (Inflammation Controller)",Prescription Drug (RX)
8065,"Budesonide, Metered Dose Inhaler, Glucocorticoid",Prescription Drug (RX)
8066,"Salbutamol (As Sulfate), Metered Dose Inhaler, Selective beta-2-adrenoreceptor Agonist",Prescription Drug (RX)
8067,"Cefuroxime (As Axetil), Powder For Suspension, Antibacterial",Prescription Drug (RX)
8068,"Cefuroxime (As Axetil), Powder For Suspension, ANTIBACTERIAL (CEPHALOSPORIN)",Prescription Drug (Rx)
8069,"Chloramphenicol, Capsule, Antibacterials",Prescription Drug (RX)
8070,"Chloramphenicol, Capsule, Antibacterials",Prescription Drug (RX)
8071,"Ranitidine (as Hydrochloride), Film Coated Tablet, H2-receptor Antagonist",Prescription Drug (RX)
8072,"Cefixime (As Trihydrate), DispersIble Tablet, Antibacterial (Cephalosporin)",Prescription Drug (RX)
8073,"Salbutamol (as sulfate), Syrup, Antiasthma",Prescription Drug (Rx)
8074,"Salbutamol (as Sulfate), Syrup, Anti-Asthma",Prescription Drug (Rx)
8075,"Anastrozole, Film-Coated Tablet, -",Prescription Drug (RX)
8076,"Anastrozole, Film-Coated Tablet, Aromatase Inhibitor",Prescription Drug (RX)
8077,"Cefixime (As Trihydrate), Capsule, Antibacterial (Cephalosporin)",Prescription Drug (RX)
8078,"Cefixime (As Trihydrate), Capsule, Antibacterial (Cephalosporin)",Prescription Drug (RX)
8079,"Cefixime (As Trihydrate), Capsule, Antibacterial (Cephalosporin)",Prescription Drug (RX)
8080,"Cefixime (As Trihydrate), Capsule, Antibacterial (Cephalosporin)",Prescription Drug (RX)
8081,"Cefixime (As Trihydrate), Capsule, Antibacterial (Cephalosporin)",Prescription Drug (RX)
8082,"Baclofen, Tablet, Muscle Relaxant",Prescription Drug (RX)
8083,"Sertraline HCl, Tablet, Selective Serotonin Reuptake Inhibitor",Prescription Drug (RX)
8084,"Pantoprazole, Lyophilized Powder For Injection (Iv), -",Prescription Drug (RX)
8085,"Pantoprazole, Lyophilized Powder For Injection (IV), -",Prescription Drug (RX)
8086,"Pantoprazole, Lyophilized Powder For Injection (Iv), -",Prescription Drug (RX)
8087,"Guaifenesin, Capsule, -",Over-The-Counter (OTC)
8088,"Aciclovir, Tablet, -",Prescription Drug (RX)
8089,"Aciclovir, Tablet, -",Prescription Drug (RX)
8090,"Tranexamic acid, Capsule, Antifibrinolytic",Prescription Drug (RX)
8091,"Isoniazid + Pyridoxine hydrochloride, Syrup, Antituberculosis",Prescription Drug (Rx)
8092,"Pantoprazole (as Sodium Sesquihydrate), Lyophilized Powder for Injection (IM/IV), -",Prescription Drug (Rx)
8093,"Pantoprazole (as Sodium Sesquihydrate), Lyophilized Powder for Injection, PROTON PUMP INHIBITOR",Prescription Drug (Rx)
8094,"Multivitamins + Dextrose, Solution for Injection (IV), Parental Nutrition",Prescription Drug (Rx)
8095,"Multivitamins + Dextrose, Solution For Injection (IV), -",Prescription Drug (RX)
8096,"CHLORPHENIRAMINE MALEATE, Tablet, ANTIHISTAMINE (H1 - RECEPTOR ANTAGONIST)",Prescription Drug (RX)
8097,"Cetirizine Hydrochloride, Syrup (Oral Drops), Antihistamine (Piperazine derivative)",Over-The-Counter (OTC)
8098,"Cetirizine Hydrochloride, Syrup (Oral Drops), Antihistamine (Piperazine derivative)",Over-The-Counter (OTC)
8099,"Cetirizine Hydrochloride, Syrup (Oral Drops), Antihistamine (Piperazine Derivative)",Over-The-Counter (OTC)
8100,"Ondansetron, Solution For Injection (IM/IV), Anti-Emetic/Antinauseant (Serotinin Antagonist)",Prescription Drug (RX)
8101,"Fenofibrate, Capsule, Lipid Modifying Agent (Fibrate)",Prescription Drug (RX)
8102,"Fenofibrate, Capsule, Lipid Modifying Agent (Fibrate)",Prescription Drug (RX)
8103,"Cefixime (As Trihydrate), Film-Coated Tablet, Antibacterial (Cephalosporin)",Prescription Drug (Rx)
