text,entities,lang
insomnia followed immediately after I took Sigmatram.,"[(43, 52, 'DRUG'), (0, 8, 'ADE')]",english
My mom felt muscle pain after taking Thiamine Mononitrate (Vitamin B1) + Pyridoxine Hydrochloride (Vitamin B6) + Cyanocobalamin (Vitamin B12.,"[(37, 140, 'DRUG'), (12, 23, 'ADE')]",english
She became diarrhea post-administration of Multivitamins + Herbs + Choline bitartrate + Alpha-lipoic acid + CoEnzyme Q10 + Lycopene.,"[(43, 131, 'DRUG'), (11, 19, 'ADE')]",english
"palpitations followed immediately after I took Carica papaya (Papain) + Anethum graveolens L. (Dill 
oil fruit) + Pimpinella anisum L. (Anise oil fruit) + 
Carum carvi L. (Caraway oil fruit) + Alpha amylase.","[(47, 208, 'DRUG'), (0, 12, 'ADE')]",english
My mom felt insomnia after taking Paracetamol + Phenylephrine Hydrochloride + Dextromethorphan Hydrobromide.,"[(34, 107, 'DRUG'), (12, 20, 'ADE')]",english
"After using Cinacalcet (as hydrochloride), I started to feel chills.","[(12, 41, 'DRUG'), (61, 67, 'ADE')]",english
Patients often report muscle pain after taking Inosine Acedoben Dimepranol.,"[(47, 74, 'DRUG'), (22, 33, 'ADE')]",english
She became rash post-administration of Calcium (as Carbonate) + Cholecalciferol + Cyanocobalamin.,"[(39, 96, 'DRUG'), (11, 15, 'ADE')]",english
I noticed diarrhea symptoms after my dose of Metformin  Hydrochloride.,"[(45, 69, 'DRUG'), (10, 18, 'ADE')]",english
My mom felt constipation after taking Paracetamol + Guaifenesin + Phenylpropanolamine HCl + Dextromethorphan HBr + Chlorphenamine maleate.,"[(38, 137, 'DRUG'), (12, 24, 'ADE')]",english
My mom felt rash after taking Bisoprolol fumarate.,"[(30, 49, 'DRUG'), (12, 16, 'ADE')]",english
"After using Trimetazdine Hydrochloride, I started to feel insomnia.","[(12, 38, 'DRUG'), (58, 66, 'ADE')]",english
My mom felt dizzy after taking Safinamide (as mesilate).,"[(31, 55, 'DRUG'), (12, 17, 'ADE')]",english
shortness of breath followed immediately after I took Doxofylline.,"[(54, 65, 'DRUG'), (0, 19, 'ADE')]",english
The doctor said insomnia is a side effect of Risdiplam.,"[(45, 54, 'DRUG'), (16, 24, 'ADE')]",english
I noticed diarrhea symptoms after my dose of Ferrous Sulfate(equivalent to 65mg elemental iron) / Thiamine Hydrochloride (Vitamin B1)/ Riboflavin Phosphate (Vitamin B2) / Pyridoxine Hydrochloride (Vitamin B6)/ Hydroxocobalamine (Vitamin B12) /Ascorbic Acid (Vitamin C) / Folic Acid / Nicotinamide.,"[(45, 296, 'DRUG'), (10, 18, 'ADE')]",english
"Ever since I took Thiamine Mononitrate (Vitamin B1) + Pyridoxine Hydrochloride (Vitamin B6) + Cyanocobalamin 
(Vitamin B12), I've had fever.","[(18, 123, 'DRUG'), (134, 139, 'ADE')]",english
"Ever since I took Ketamine (As Hydrochloride), I've had muscle pain.","[(18, 45, 'DRUG'), (56, 67, 'ADE')]",english
Patients often report swelling after taking Clotrimazole + Gentamicin (as Sulfate) + Betamethasone (as Diproprionate).,"[(44, 117, 'DRUG'), (22, 30, 'ADE')]",english
dry mouth followed immediately after I took Iron Sucrose (Iron Iii Hydroxide Sucrose Complex).,"[(44, 93, 'DRUG'), (0, 9, 'ADE')]",english
vomiting followed immediately after I took Omeprazole                    (As Sodium).,"[(43, 84, 'DRUG'), (0, 8, 'ADE')]",english
vomiting followed immediately after I took Chlorpheniramine Maleate + Paracetamol + Phenylephrine.,"[(43, 97, 'DRUG'), (0, 8, 'ADE')]",english
The doctor said rash is a side effect of AMOROLFINE (as hydrochloride).,"[(41, 70, 'DRUG'), (16, 20, 'ADE')]",english
The doctor said chills is a side effect of Isosorbide dinitrate.,"[(43, 63, 'DRUG'), (16, 22, 'ADE')]",english
The doctor said chills is a side effect of Ketoconazole + Clobetasol Propionate + Neomycin Sulfate.,"[(43, 98, 'DRUG'), (16, 22, 'ADE')]",english
"Ever since I took Norethisterone + Ethinylestradiol, I've had palpitations.","[(18, 51, 'DRUG'), (62, 74, 'ADE')]",english
I noticed swelling symptoms after my dose of Montelukast (as sodium) + Levocetirizine hydrochloride.,"[(45, 99, 'DRUG'), (10, 18, 'ADE')]",english
The doctor said swelling is a side effect of Cefalexin (As Monhydrate).,"[(45, 70, 'DRUG'), (16, 24, 'ADE')]",english
She became diarrhea post-administration of Imatinib (as mesilate).,"[(43, 65, 'DRUG'), (11, 19, 'ADE')]",english
"Ever since I took Multivitamins + Buclizine Hydrochloride, I've had vomiting.","[(18, 57, 'DRUG'), (68, 76, 'ADE')]",english
I experienced vomiting when I was prescribed soniazid + Pyridoxine Hydrochloride.,"[(45, 80, 'DRUG'), (14, 22, 'ADE')]",english
"Ever since I took Dicycloverine hydrochloride, I've had fever.","[(18, 45, 'DRUG'), (56, 61, 'ADE')]",english
nausea followed immediately after I took Recombinant Human Thrombopoietin.,"[(41, 73, 'DRUG'), (0, 6, 'ADE')]",english
I noticed dizzy symptoms after my dose of Paracetamol + Phenylephrine hydrochloride + Chlorphenamine maleate.,"[(42, 108, 'DRUG'), (10, 15, 'ADE')]",english
She became swelling post-administration of Esomeprazole Magnesium.,"[(43, 65, 'DRUG'), (11, 19, 'ADE')]",english
My mom felt headache after taking Prednisolone Phosphate (As Sodium).,"[(34, 68, 'DRUG'), (12, 20, 'ADE')]",english
I experienced shortness of breath when I was prescribed Salbutamol (As Sulfate) + Ipratropium Bromide.,"[(56, 101, 'DRUG'), (14, 33, 'ADE')]",english
Patients often report palpitations after taking Cisatracurium (As Besilate).,"[(48, 75, 'DRUG'), (22, 34, 'ADE')]",english
"After using Lidocaine hydrochloride, I started to feel nausea.","[(12, 35, 'DRUG'), (55, 61, 'ADE')]",english
I experienced swelling when I was prescribed Chloramphenicol (As Palmimate).,"[(45, 75, 'DRUG'), (14, 22, 'ADE')]",english
"Ever since I took Multivitamins (see formulation reverse side), I've had rash.","[(18, 62, 'DRUG'), (73, 77, 'ADE')]",english
"After using Gentamicin sulfate + Betamethasone (as dipropionate), I started to feel dizzy.","[(12, 64, 'DRUG'), (84, 89, 'ADE')]",english
The doctor said headache is a side effect of Thiamine Mononitrate (Vitamin B1) + Pyridoxine HCl (Vitamin B6) + Cyanocobalamin (Vitamin B12).,"[(45, 139, 'DRUG'), (16, 24, 'ADE')]",english
I experienced fever when I was prescribed Hydralazine Hydrochloride.,"[(42, 67, 'DRUG'), (14, 19, 'ADE')]",english
I noticed anxiety symptoms after my dose of Esomeprazole (as magnesium trihydrate).,"[(44, 82, 'DRUG'), (10, 17, 'ADE')]",english
Quinapril Hydrochloride made me feel insomnia for hours.,"[(0, 23, 'DRUG'), (37, 45, 'ADE')]",english
"Ever since I took Sodium Ascorbate + Zinc Sulfate Monohydrate, I've had chills.","[(18, 61, 'DRUG'), (72, 78, 'ADE')]",english
Naproxen Sodium made me feel rash for hours.,"[(0, 15, 'DRUG'), (29, 33, 'ADE')]",english
The doctor said dry mouth is a side effect of Balanced Multiple Maintenance Solution With 5% Dextrose (For Pedia).,"[(46, 113, 'DRUG'), (16, 25, 'ADE')]",english
The doctor said dry mouth is a side effect of Perampanel.,"[(46, 56, 'DRUG'), (16, 25, 'ADE')]",english
Patients often report chills after taking Omeprazole                     (As Sodium).,"[(42, 84, 'DRUG'), (22, 28, 'ADE')]",english
"After using Nasagen, I started to feel palpitations.","[(12, 19, 'DRUG'), (39, 51, 'ADE')]",english
I noticed blurred vision symptoms after my dose of Silybin+Phospholipids+Multivitamins+Zinc.,"[(51, 91, 'DRUG'), (10, 24, 'ADE')]",english
"Ever since I took Tramadol hydrochloride + Paracetamol, I've had blurred vision.","[(18, 54, 'DRUG'), (65, 79, 'ADE')]",english
She became vomiting post-administration of Diphenhydramine hydrochloride.,"[(43, 72, 'DRUG'), (11, 19, 'ADE')]",english
My mom felt dry mouth after taking Camphol + Menthol + Eucalyptus Oil.,"[(35, 69, 'DRUG'), (12, 21, 'ADE')]",english
"Ever since I took Thiamine Mononitrate (Vit.B1) +Pyridoxine (Vit.B6 + Cyanocobalamine (Vit. B12), I've had nausea.","[(18, 96, 'DRUG'), (107, 113, 'ADE')]",english
My mom felt palpitations after taking Biphasic Isophane Human Insulin 30/70 (recombinant DNA).,"[(38, 93, 'DRUG'), (12, 24, 'ADE')]",english
Patients often report tremors after taking Salbugen Plus.,"[(43, 56, 'DRUG'), (22, 29, 'ADE')]",english
"After using DIPHENHYDRAMINE HYDROCHLORIDE, I started to feel headache.","[(12, 41, 'DRUG'), (61, 69, 'ADE')]",english
My mom felt vomiting after taking Camphor + Eucalyptus Oil + Menthol.,"[(34, 68, 'DRUG'), (12, 20, 'ADE')]",english
Vitamins B1 + B2 + B12 (see reverse for formulation) made me feel dry mouth for hours.,"[(0, 52, 'DRUG'), (66, 75, 'ADE')]",english
"My mom felt insomnia after taking Cetirizine Dihydrochloride 
Hydrochloride.","[(34, 76, 'DRUG'), (12, 20, 'ADE')]",english
"She became muscle pain post-administration of Iron + Calcium + Zinc + Folic Acid (Vitamin B9) + 
Cyanocobalamin (Vitamin B12).","[(46, 126, 'DRUG'), (11, 22, 'ADE')]",english
My mom felt dry mouth after taking Thiamine HCl (Vitamin B1) + Pyridoxine HCl (Vitamin B6) + Cyanocobalamin (Vitamin B12).,"[(35, 121, 'DRUG'), (12, 21, 'ADE')]",english
"Ever since I took Methyl Salicylate + Zingiber officinale (Ginger) 
Root + Menthol + Camphor + Eucalyptus, I've had shortness of breath.","[(18, 106, 'DRUG'), (117, 136, 'ADE')]",english
I noticed nausea symptoms after my dose of Tolvaptan.,"[(43, 52, 'DRUG'), (10, 16, 'ADE')]",english
She became dizzy post-administration of Citrupro SR.,"[(40, 51, 'DRUG'), (11, 16, 'ADE')]",english
"After using Fingolimod (as hydrochloride), I started to feel shortness of breath.","[(12, 41, 'DRUG'), (61, 80, 'ADE')]",english
nausea followed immediately after I took Zinc (as Sulphate monohydrate).,"[(41, 71, 'DRUG'), (0, 6, 'ADE')]",english
She became swelling post-administration of Iron + Folic Acid.,"[(43, 60, 'DRUG'), (11, 19, 'ADE')]",english
She became constipation post-administration of Glucose + Amino Acids + Electrolytes + Lipid.,"[(47, 91, 'DRUG'), (11, 23, 'ADE')]",english
My mom felt blurred vision after taking Ciprofloxacin (As Hydrochloride) + Fluocinolone Acetonide.,"[(40, 97, 'DRUG'), (12, 26, 'ADE')]",english
Bromhexine hydrochloride. made me feel fever for hours.,"[(0, 25, 'DRUG'), (39, 44, 'ADE')]",english
Oxymetazoline Hydrochloride made me feel muscle pain for hours.,"[(0, 27, 'DRUG'), (41, 52, 'ADE')]",english
lmatinib (as mesilate) made me feel blurred vision for hours.,"[(0, 22, 'DRUG'), (36, 50, 'ADE')]",english
"Ever since I took Menthol + Peppermint Oil, I've had palpitations.","[(18, 42, 'DRUG'), (53, 65, 'ADE')]",english
"After using Enalapril Maleate + Hydrochlorothiazide, I started to feel fever.","[(12, 51, 'DRUG'), (71, 76, 'ADE')]",english
nausea followed immediately after I took D-Alpha Tocopherol + Lecithin.,"[(41, 70, 'DRUG'), (0, 6, 'ADE')]",english
The doctor said tremors is a side effect of Tioconazole + Tinidazole.,"[(44, 68, 'DRUG'), (16, 23, 'ADE')]",english
Salmeterol (as Xinafoate) + Fluticasone propionate made me feel vomiting for hours.,"[(0, 50, 'DRUG'), (64, 72, 'ADE')]",english
Arginine Hydrochloride made me feel palpitations for hours.,"[(0, 22, 'DRUG'), (36, 48, 'ADE')]",english
I experienced nausea when I was prescribed PROPOFOL.,"[(43, 51, 'DRUG'), (14, 20, 'ADE')]",english
"Ever since I took Medical Grade Oxygen, I've had fatigue.","[(18, 38, 'DRUG'), (49, 56, 'ADE')]",english
She became nausea post-administration of Losartn Potassium + Hydrochlorothiazide.,"[(41, 80, 'DRUG'), (11, 17, 'ADE')]",english
palpitations followed immediately after I took Clindamycin Phosphate + Tretinoin.,"[(47, 80, 'DRUG'), (0, 12, 'ADE')]",english
The doctor said dizzy is a side effect of Buclizine Hydrohloride + Vitamin B-Complex + Iron.,"[(42, 91, 'DRUG'), (16, 21, 'ADE')]",english
She became muscle pain post-administration of Rifampicin + Isoniazid (Rimactazid) and Ethambutol.,"[(46, 96, 'DRUG'), (11, 22, 'ADE')]",english
"After using Efavirenz + Emtricitabine + Tenofovir disoproxil (as 
fumarate), I started to feel fatigue.","[(12, 75, 'DRUG'), (95, 102, 'ADE')]",english
My mom felt nausea after taking Eucalyptus Oil.,"[(32, 46, 'DRUG'), (12, 18, 'ADE')]",english
"Ever since I took Tenofovir disoproxil fumarate + Lamivudine
Efavirenz, I've had tremors.","[(18, 71, 'DRUG'), (82, 89, 'ADE')]",english
I noticed muscle pain symptoms after my dose of ISOFLURANE.,"[(48, 58, 'DRUG'), (10, 21, 'ADE')]",english
The doctor said palpitations is a side effect of d-Alpha Tocopherol (Vitamin E).,"[(49, 79, 'DRUG'), (16, 28, 'ADE')]",english
"After using Erythromycin (As Stearate), I started to feel vomiting.","[(12, 38, 'DRUG'), (58, 66, 'ADE')]",english
Patients often report rash after taking Iron (as Ferrous Sulfate).,"[(40, 65, 'DRUG'), (22, 26, 'ADE')]",english
constipation followed immediately after I took Phenylephrine HC1 + Chlorphenamine Maleate + Paracetamol.,"[(47, 103, 'DRUG'), (0, 12, 'ADE')]",english
My mom felt dizzy after taking Travoprost + Timolol (as maleate).,"[(31, 64, 'DRUG'), (12, 17, 'ADE')]",english
Patients often report diarrhea after taking Oxytetracycline (Vet.).,"[(44, 66, 'DRUG'), (22, 30, 'ADE')]",english
My mom felt diarrhea after taking Telmisartan+ Amlodipine (as Besilate).,"[(34, 71, 'DRUG'), (12, 20, 'ADE')]",english
"Ever since I took Omeprazole(As Sodium), I've had blurred vision.","[(18, 39, 'DRUG'), (50, 64, 'ADE')]",english
Patients often report rash after taking Ascorbic acid + Cholecalciferol (Vitamin D3) + Zinc.,"[(40, 91, 'DRUG'), (22, 26, 'ADE')]",english
"Ever since I took Losartan + Hydrochlorothiazide, I've had vomiting.","[(18, 48, 'DRUG'), (59, 67, 'ADE')]",english
Patients often report swelling after taking Streptomycin (As Sulfate).,"[(44, 69, 'DRUG'), (22, 30, 'ADE')]",english
Oxycodone Hydrochloride made me feel headache for hours.,"[(0, 23, 'DRUG'), (37, 45, 'ADE')]",english
The doctor said tremors is a side effect of Azithromycin (as Dihydrate).,"[(44, 71, 'DRUG'), (16, 23, 'ADE')]",english
Cefazolin (as sodium ) made me feel dry mouth for hours.,"[(0, 22, 'DRUG'), (36, 45, 'ADE')]",english
"After using Panitumumab, I started to feel tremors.","[(12, 23, 'DRUG'), (43, 50, 'ADE')]",english
"Ever since I took Biphasic Isophane Human Insulin 50/50 (Recombinant DNA), I've had dry mouth.","[(18, 73, 'DRUG'), (84, 93, 'ADE')]",english
The doctor said fatigue is a side effect of Cefuruxime (as axetil).,"[(44, 66, 'DRUG'), (16, 23, 'ADE')]",english
I experienced diarrhea when I was prescribed Ciprofloxacin (As Lactate).,"[(45, 71, 'DRUG'), (14, 22, 'ADE')]",english
The doctor said chills is a side effect of Fenofibrate + Simvastatin.,"[(43, 68, 'DRUG'), (16, 22, 'ADE')]",english
"Ever since I took Dapsone, I've had constipation.","[(18, 25, 'DRUG'), (36, 48, 'ADE')]",english
My mom felt vomiting after taking Paracetamol + Tramadol HCl.,"[(34, 60, 'DRUG'), (12, 20, 'ADE')]",english
I experienced chills when I was prescribed Levothyroxine (As Sodium).,"[(43, 68, 'DRUG'), (14, 20, 'ADE')]",english
My mom felt headache after taking Ponatinib (as Hydrocloride).,"[(34, 61, 'DRUG'), (12, 20, 'ADE')]",english
dizzy followed immediately after I took Pantoprazole (as Sodium Sesquihydrate).,"[(40, 78, 'DRUG'), (0, 5, 'ADE')]",english
"I noticed tremors symptoms after my dose of Thiamine Mononitrate (Vitamin B1) + Pyridoxine Hydrochloride (Vitamin B6) + Cyanocobalamin 
(Vitamin B12).","[(44, 149, 'DRUG'), (10, 17, 'ADE')]",english
palpitations followed immediately after I took Dlbs2411 Cinnamomum Burmannii (Nees &amp; T. Nees) Blume (Indonesian Cinnamon Bark).,"[(47, 130, 'DRUG'), (0, 12, 'ADE')]",english
She became tremors post-administration of Ambroxol Hydrochlorie.,"[(42, 63, 'DRUG'), (11, 18, 'ADE')]",english
"Ever since I took Pantoprazole Sodium Sesquihydrate, I've had diarrhea.","[(18, 51, 'DRUG'), (62, 70, 'ADE')]",english
The doctor said rash is a side effect of Peritoneal Dialysis With 1.5% Dextrose.,"[(41, 79, 'DRUG'), (16, 20, 'ADE')]",english
She became palpitations post-administration of Multivitamins + Buclizine Hydrochloride + Iron (Ferrous Sulfate).,"[(47, 111, 'DRUG'), (11, 23, 'ADE')]",english
My mom felt diarrhea after taking Vitamins B1 + B6 + B12 (see reverse for formulation).,"[(34, 86, 'DRUG'), (12, 20, 'ADE')]",english
"My mom felt swelling after taking Metoclopramide (As
Hydrochloride).","[(34, 68, 'DRUG'), (12, 20, 'ADE')]",english
Oral Rehydration Salts (ORS) made me feel nausea for hours.,"[(0, 28, 'DRUG'), (42, 48, 'ADE')]",english
"After using Metformin Hydrochloride + Pioglitazone (as 
hydrochloride) + Glimepiride, I started to feel dizzy.","[(12, 84, 'DRUG'), (104, 109, 'ADE')]",english
My mom felt diarrhea after taking Cassia angustifolia Vahl (Senna Leaves).,"[(34, 73, 'DRUG'), (12, 20, 'ADE')]",english
The doctor said headache is a side effect of Cholecalciferol D-3 (Vit.D).,"[(45, 72, 'DRUG'), (16, 24, 'ADE')]",english
She became diarrhea post-administration of Dextrose in Water (5%).,"[(43, 65, 'DRUG'), (11, 19, 'ADE')]",english
The doctor said anxiety is a side effect of Ondansetron (as hydrochloride dehydrate).,"[(44, 84, 'DRUG'), (16, 23, 'ADE')]",english
"Patients often report blurred vision after taking Paracetamol + Phenylephrine Hydrochloride 
Chlorphenamine Maleate + Caffeine Anhydrous.","[(50, 136, 'DRUG'), (22, 36, 'ADE')]",english
I noticed blurred vision symptoms after my dose of Insulin Glargine.,"[(51, 67, 'DRUG'), (10, 24, 'ADE')]",english
The doctor said diarrhea is a side effect of Flunarizine Hydrochloride.,"[(45, 70, 'DRUG'), (16, 24, 'ADE')]",english
She became swelling post-administration of Vitex Negundo L. Lagundi Leaf.,"[(43, 72, 'DRUG'), (11, 19, 'ADE')]",english
Patients often report vomiting after taking Montelukast (as sodium).,"[(44, 67, 'DRUG'), (22, 30, 'ADE')]",english
"She became palpitations post-administration of Moxifloxacin (as hydrochloride) + Dexamethasone 
phosphate (as sodium).","[(47, 118, 'DRUG'), (11, 23, 'ADE')]",english
"Ever since I took Inactivated Infectious Bronchitis (IB) Virus + Newcastle Disease (ND) Virus + Egg Drop Syndrome-76 (EDS-76) 
Virus Vaccine (Vet.), I've had fever.","[(18, 148, 'DRUG'), (159, 164, 'ADE')]",english
Patients often report vomiting after taking Salmeterol (as xinafoate) + Fluticasone Propionate.,"[(44, 94, 'DRUG'), (22, 30, 'ADE')]",english
I noticed blurred vision symptoms after my dose of Thiamine Hydrochloride (Vitamin B1) + Pyridoxine hydrochloride (Vitamin B6) + Cyanocobalamin (Vitamin B12).,"[(51, 157, 'DRUG'), (10, 24, 'ADE')]",english
She became blurred vision post-administration of Methyl Salicylate + Menthol + Camphor+ Eucalyptus Oil.,"[(49, 102, 'DRUG'), (11, 25, 'ADE')]",english
"Ever since I took Potassium Chloride 10 Meq (20 Meq/L) In 5% Dextrose And 0.33% Sodium Chloride Solution For I.V. Infusion, I've had fatigue.","[(18, 122, 'DRUG'), (133, 140, 'ADE')]",english
The doctor said constipation is a side effect of Ascorbic Acid + Zinc Ascorbate.,"[(49, 79, 'DRUG'), (16, 28, 'ADE')]",english
Pyridoxine Hydrochloride + Folic Acid + Cyanocobalamin made me feel headache for hours.,"[(0, 54, 'DRUG'), (68, 76, 'ADE')]",english
"I experienced blurred vision when I was prescribed Thiamine (Vitamin B1) + Pyridoxine (Vitamin B6) + 
Cyanocobalamin (Vitamin B12).","[(51, 131, 'DRUG'), (14, 28, 'ADE')]",english
swelling followed immediately after I took CHOLECALCIFEROL.,"[(43, 58, 'DRUG'), (0, 8, 'ADE')]",english
The doctor said tremors is a side effect of Linezolid.,"[(44, 53, 'DRUG'), (16, 23, 'ADE')]",english
Dipyrimadole made me feel nausea for hours.,"[(0, 12, 'DRUG'), (26, 32, 'ADE')]",english
Patients often report muscle pain after taking Brimonidine Tartrate + Timolol (as maleate).,"[(47, 90, 'DRUG'), (22, 33, 'ADE')]",english
She became shortness of breath post-administration of Isoniazid + Pyridoxine hydrochloride.,"[(54, 90, 'DRUG'), (11, 30, 'ADE')]",english
tremors followed immediately after I took Dobutamine (As Hydrochloride).,"[(42, 71, 'DRUG'), (0, 7, 'ADE')]",english
She became headache post-administration of MultiVitamins + Minerals.,"[(43, 67, 'DRUG'), (11, 19, 'ADE')]",english
She became vomiting post-administration of Iron (As Iron Sucrose).,"[(43, 65, 'DRUG'), (11, 19, 'ADE')]",english
Patients often report insomnia after taking Camphor + Menthol + Eucalyptus Oil.,"[(44, 78, 'DRUG'), (22, 30, 'ADE')]",english
"After using Ascorbic Acid (as Sodium Ascorbate) + Zinc (as Gluconate), I started to feel palpitations.","[(12, 69, 'DRUG'), (89, 101, 'ADE')]",english
"Human Papillomavirus Vaccine [Types 16 and 18] 
(Recombinant, adjuvanted, adsorbed) made me feel blurred vision for hours.","[(0, 84, 'DRUG'), (98, 112, 'ADE')]",english
Patients often report chills after taking Menthol Camphor.,"[(42, 57, 'DRUG'), (22, 28, 'ADE')]",english
palpitations followed immediately after I took Amikacin (As Sulphate).,"[(47, 69, 'DRUG'), (0, 12, 'ADE')]",english
"After using Suxamethonium Chloride, I started to feel dry mouth.","[(12, 34, 'DRUG'), (54, 63, 'ADE')]",english
"My mom felt diarrhea after taking Lincomycin Hydrochloride + Gentamicin Sulfate + 
Bromhexine Hydrochloride (Vet.).","[(34, 114, 'DRUG'), (12, 20, 'ADE')]",english
"She became palpitations post-administration of Dapagliflozin (as propanediol monohydrate) 
Metformin hydrochloride (in extended-release form).","[(47, 141, 'DRUG'), (11, 23, 'ADE')]",english
"fatigue followed immediately after I took Combined Diphtheria, Tetanus, Acellular Pertussis Vaccine, Adsorbed.","[(42, 109, 'DRUG'), (0, 7, 'ADE')]",english
swelling followed immediately after I took Epinephrine (as hydrochloride).,"[(43, 73, 'DRUG'), (0, 8, 'ADE')]",english
Patients often report palpitations after taking Bupivacaine (as hydrochloride) w/ Dextrose.,"[(48, 90, 'DRUG'), (22, 34, 'ADE')]",english
"After using Vitex Negundo (Lagundi Leaf), I started to feel rash.","[(12, 40, 'DRUG'), (60, 64, 'ADE')]",english
She became rash post-administration of Cefuroxime As Sodium.,"[(39, 59, 'DRUG'), (11, 15, 'ADE')]",english
Patients often report vomiting after taking Glucose + Amino Acids + Electrolytes + Lipids..,"[(44, 90, 'DRUG'), (22, 30, 'ADE')]",english
I noticed vomiting symptoms after my dose of Mometason Furoate.,"[(45, 62, 'DRUG'), (10, 18, 'ADE')]",english
She became swelling post-administration of Sodium Alginate / Sodium Bicarbonate / Calcium Carbonate.,"[(43, 99, 'DRUG'), (11, 19, 'ADE')]",english
Vildagliptin + Metformin HC1 made me feel fatigue for hours.,"[(0, 28, 'DRUG'), (42, 49, 'ADE')]",english
I noticed chills symptoms after my dose of MECLIZINE HYDROCHLORIDE.,"[(43, 66, 'DRUG'), (10, 16, 'ADE')]",english
"I experienced headache when I was prescribed Live Attenuated Infectious Bronchitis (IB) Virus 
Vaccine (Vet.).","[(45, 110, 'DRUG'), (14, 22, 'ADE')]",english
My mom felt dry mouth after taking Heparin (as Sodium).,"[(35, 54, 'DRUG'), (12, 21, 'ADE')]",english
Patients often report diarrhea after taking KETOCONAZOLE.,"[(44, 56, 'DRUG'), (22, 30, 'ADE')]",english
"Ever since I took Chlorphenamine Maleate, I've had nausea.","[(18, 40, 'DRUG'), (51, 57, 'ADE')]",english
anxiety followed immediately after I took Isordil.,"[(42, 49, 'DRUG'), (0, 7, 'ADE')]",english
She became tremors post-administration of Bptrol.,"[(42, 48, 'DRUG'), (11, 18, 'ADE')]",english
I experienced fatigue when I was prescribed Nicarpine Hydrochloride.,"[(44, 67, 'DRUG'), (14, 21, 'ADE')]",english
"After using Fat Emulsion + Amino Acids with Electrolytes + Glucose, I started to feel dry mouth.","[(12, 66, 'DRUG'), (86, 95, 'ADE')]",english
"Patients often report rash after taking Paracetamol + Guaifenesin + Phenylpropanolamine 
Hydrochloride + Dextromethorphan Hydrobromide + 
Chlorpheniramine Maleate.","[(40, 162, 'DRUG'), (22, 26, 'ADE')]",english
"After using Daclastavir (As dihydrochloride), I started to feel fatigue.","[(12, 44, 'DRUG'), (64, 71, 'ADE')]",english
She became nausea post-administration of Fentanyl (as citrate) [Fentanyl Citrate 471 mcg equivalent to Fentanyl base 300 mcg].,"[(41, 125, 'DRUG'), (11, 17, 'ADE')]",english
"Ever since I took Exemestane, I've had diarrhea.","[(18, 28, 'DRUG'), (39, 47, 'ADE')]",english
She became shortness of breath post-administration of Fluocinolone Acetonide + Polymyxin B Sulfate + Neomycin (as sulfate).,"[(54, 122, 'DRUG'), (11, 30, 'ADE')]",english
I noticed vomiting symptoms after my dose of Clonidine hydrochloride.,"[(45, 68, 'DRUG'), (10, 18, 'ADE')]",english
"Ever since I took ASCORBIC ACID (EQUIVALENT TO 568.18MG SODIUM ASCORBATE), I've had swelling.","[(18, 73, 'DRUG'), (84, 92, 'ADE')]",english
chills followed immediately after I took Tolnaftate + Clioquinol + Gentamicin Sulfate + Betamethasone Valerate.,"[(41, 110, 'DRUG'), (0, 6, 'ADE')]",english
"After using Paracetamol + Phenylpropanolamine Hydrochloride+ 
Chlorphenamine Maleate, I started to feel diarrhea.","[(12, 85, 'DRUG'), (105, 113, 'ADE')]",english
The doctor said tremors is a side effect of Iron Plus Folic Acid (Vitamin B9).,"[(44, 77, 'DRUG'), (16, 23, 'ADE')]",english
Milrinone (as lactate) made me feel diarrhea for hours.,"[(0, 22, 'DRUG'), (36, 44, 'ADE')]",english
The doctor said dry mouth is a side effect of TERAZOSIN  (AS HYDROCHLORIDE).,"[(46, 75, 'DRUG'), (16, 25, 'ADE')]",english
Patients often report fever after taking Natalex.,"[(41, 48, 'DRUG'), (22, 27, 'ADE')]",english
My mom felt blurred vision after taking Elobixibat (as monohydrate).,"[(40, 67, 'DRUG'), (12, 26, 'ADE')]",english
rash followed immediately after I took QUETIAPINE (as fumarate).,"[(39, 63, 'DRUG'), (0, 4, 'ADE')]",english
I experienced swelling when I was prescribed Silymarin.,"[(45, 54, 'DRUG'), (14, 22, 'ADE')]",english
blurred vision followed immediately after I took Insulin Human (Regular).,"[(49, 72, 'DRUG'), (0, 14, 'ADE')]",english
Patients often report vomiting after taking Pantoprazole + Domperidone.,"[(44, 70, 'DRUG'), (22, 30, 'ADE')]",english
My mom felt muscle pain after taking Cerebrolysin.,"[(37, 49, 'DRUG'), (12, 23, 'ADE')]",english
I experienced fever when I was prescribed Methyl Salicylate + Eucalyptus Oil+ Menthol.,"[(42, 85, 'DRUG'), (14, 19, 'ADE')]",english
I experienced insomnia when I was prescribed Ornidazole + Ofloxacin.,"[(45, 67, 'DRUG'), (14, 22, 'ADE')]",english
My mom felt nausea after taking Menthol + Eucalyptus Oil + Camphor.,"[(32, 66, 'DRUG'), (12, 18, 'ADE')]",english
